CountryName,CountryCode,Year,BirthRate,DeathRate,CountryName_fsi,CountryName_wb,Region,IncomeGroup,Country,Year_fsi,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Population,GDP
Equatorial Guinea,GNQ,1974,42.239,25.917,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,265762,94159862.71
Equatorial Guinea,GNQ,1975,42.445,25.52,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,255808,104295643.4
Equatorial Guinea,GNQ,1976,42.648,24.903,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,247969,103653049.9
Equatorial Guinea,GNQ,1977,42.839,24.096,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,242160,103987520.1
Equatorial Guinea,GNQ,1978,43.011,23.153,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,239681,
Equatorial Guinea,GNQ,1979,43.156,22.124,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,241977,
Equatorial Guinea,GNQ,1980,43.264,21.094,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,249931,50642880.77
Equatorial Guinea,GNQ,1981,43.329,20.16,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,264370,36731422.85
Equatorial Guinea,GNQ,1982,43.349,19.383,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,284638,44294647.73
Equatorial Guinea,GNQ,1983,43.324,18.802,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,308208,44442456.95
Equatorial Guinea,GNQ,1984,43.256,18.423,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,331554,50320914.41
Equatorial Guinea,GNQ,1985,43.142,18.218,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,352116,62118564.85
Equatorial Guinea,GNQ,1986,42.982,18.125,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,369024,76407396.76
Equatorial Guinea,GNQ,1987,42.782,18.055,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,382977,93345847.73
Equatorial Guinea,GNQ,1988,42.556,17.936,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,394973,100534663.3
Equatorial Guinea,GNQ,1989,42.316,17.739,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,406620,88265974.58
Equatorial Guinea,GNQ,1990,42.085,17.449,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,419188,112119406.5
Equatorial Guinea,GNQ,1991,41.883,17.076,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,432844,110906032.1
Equatorial Guinea,GNQ,1992,41.723,16.66,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,447269,134707184.4
Equatorial Guinea,GNQ,1993,41.607,16.237,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,462637,136047896.2
Equatorial Guinea,GNQ,1994,41.534,15.818,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,479099,100807001.8
Equatorial Guinea,GNQ,1995,41.494,15.415,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,496768,141853368.3
Equatorial Guinea,GNQ,1996,41.47,15.031,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,515844,232463036.4
Equatorial Guinea,GNQ,1997,41.438,14.666,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,536459,442337849.5
Equatorial Guinea,GNQ,1998,41.378,14.318,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,558496,370687618.7
Equatorial Guinea,GNQ,1999,41.28,13.991,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,581765,621117885.7
Equatorial Guinea,GNQ,2000,41.136,13.686,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,606180,1045998496
Equatorial Guinea,GNQ,2001,40.947,13.406,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,631662,1461139022
Equatorial Guinea,GNQ,2002,40.723,13.148,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,658388,1806742742
Equatorial Guinea,GNQ,2003,40.468,12.906,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,686670,2484745935
Equatorial Guinea,GNQ,2004,40.182,12.677,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,716949,4410764339
Equatorial Guinea,GNQ,2005,39.859,12.455,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,749527,8217369093
Equatorial Guinea,GNQ,2006,39.493,12.232,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,Equatorial Guinea,2006,52nd,84,8.3,8,6.7,4,9,7.5,9,8,8.5,7,2,6,784494,10086528699
Equatorial Guinea,GNQ,2007,39.082,12.005,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,Equatorial Guinea,2007,41st,88.2,8.9,8.5,7,4,9,7.4,9.4,8.6,9.4,8,2,6,821686,13071718759
Equatorial Guinea,GNQ,2008,38.626,11.771,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,Equatorial Guinea,2008,42nd,88,9,8.5,7,3.9,9.2,7.4,9.4,8.3,9.5,7.8,2,6,860839,19749893536
Equatorial Guinea,GNQ,2009,38.132,11.526,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,Equatorial Guinea,2009,47th,88.3,8.6,8.6,6.8,4.4,9,7.4,9.4,8.6,9.2,8.3,2,6,901589,15027795173
Equatorial Guinea,GNQ,2010,37.604,11.273,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,Equatorial Guinea,2010,44th,88.5,8.4,8.4,6.8,4.7,8.8,7.4,9.6,8.4,9.4,8.4,2.3,5.9,943640,16314443429
Equatorial Guinea,GNQ,2011,37.049,11.014,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,Equatorial Guinea,2011,41st,88.1,8.1,8.2,6.6,4.5,9.1,7.2,9.6,8.1,9.4,8.5,2.7,6,986861,21357343682
Equatorial Guinea,GNQ,2012,36.476,10.753,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,Equatorial Guinea,2012,43rd,86.3,7.8,8.2,6.6,4.8,8.8,6.9,9.4,7.8,9.1,8.2,3,5.7,1031191,22388344124
Equatorial Guinea,GNQ,2013,35.899,10.496,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,Equatorial Guinea,2013,47th,86.1,7.5,8.2,6.6,4.5,9.1,6.6,9.6,7.6,9.4,8.3,3.3,5.5,1076412,21948834290
Equatorial Guinea,GNQ,2014,35.326,10.245,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,Equatorial Guinea,2014,52nd,85.3,7.2,8.2,6.6,4.2,8.8,6.3,9.7,7.4,9.5,8,3.6,5.8,1122273,21765453087
Equatorial Guinea,GNQ,2015,34.768,10.002,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,Equatorial Guinea,2015,54th,84.8,7,8.2,6.3,5.2,9,6,9.8,7.1,9.7,7.7,3.3,5.5,1168575,13185496881
Equatorial Guinea,GNQ,2016,34.234,9.768,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,Equatorial Guinea,2016,53rd,85.2,6.7,8.2,6.3,6.2,8.9,5.7,9.9,7.4,9.4,7.7,3.6,5.2,1215181,11240808847
Equatorial Guinea,GNQ,2017,33.725,9.542,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,Equatorial Guinea,2017,51st,85,6.5,8.2,6.3,6.5,8.7,5.5,9.8,7.9,9.2,7.5,3.9,5,1262008,12200913888
Equatorial Guinea,GNQ,2018,33.241,9.323,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,Equatorial Guinea,2018,55th,83.39889584,6.2,8.2,6,6.223092511,8.4,5.2,9.785562547,8.004087412,8.9,7.586153368,4.2,4.7,1308966,13097012189
Equatorial Guinea,GNQ,2019,32.783,9.112,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,Equatorial Guinea,2019,53rd,82.6,5.9,8.2,6.3,5.9,8.1,4.9,9.8,8.1,8.6,7.9,4.5,4.4,1355982,11417278045
Eritrea,ERI,1960,48.763,25.11,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,1007586,
Eritrea,ERI,1961,48.653,24.492,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,1033320,
Eritrea,ERI,1962,48.504,23.918,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,1060489,
Eritrea,ERI,1963,48.329,23.399,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,1088859,
Eritrea,ERI,1964,48.135,22.936,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,1118152,
Eritrea,ERI,1965,47.927,22.524,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,1148188,
Eritrea,ERI,1966,47.705,22.151,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,1178875,
Eritrea,ERI,1967,47.466,21.796,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,1210304,
Eritrea,ERI,1968,47.211,21.445,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,1242633,
Eritrea,ERI,1969,46.948,21.092,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,1276122,
Eritrea,ERI,1970,46.683,20.733,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,1310947,
Eritrea,ERI,1971,46.423,20.371,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,1347180,
Eritrea,ERI,1972,46.174,20.014,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,1384789,
Eritrea,ERI,1973,45.943,19.67,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,1423749,
Eritrea,ERI,1974,45.737,19.341,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,1463986,
Eritrea,ERI,1975,45.564,19.03,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,1505438,
Eritrea,ERI,1976,45.436,18.74,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,1547978,
Eritrea,ERI,1977,45.348,18.47,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,1591622,
Eritrea,ERI,1978,45.294,18.219,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,1636771,
Eritrea,ERI,1979,45.264,17.985,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,1683932,
Eritrea,ERI,1980,45.254,17.768,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,1733423,
Eritrea,ERI,1981,45.263,17.566,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,1784557,
Eritrea,ERI,1982,45.275,17.377,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,1836825,
Eritrea,ERI,1983,45.26,17.196,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,1890556,
Eritrea,ERI,1984,45.188,17.017,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,1946299,
Eritrea,ERI,1985,45.011,16.838,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,2003942,
Eritrea,ERI,1986,44.683,16.659,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,2064803,
Eritrea,ERI,1987,44.182,16.476,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,2127421,
Eritrea,ERI,1988,43.5,16.283,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,2185607,
Eritrea,ERI,1989,42.638,16.071,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,2231144,
Eritrea,ERI,1990,41.58,15.826,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,2258649,
Eritrea,ERI,1991,40.315,15.529,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,2266356,
Eritrea,ERI,1992,38.892,15.177,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,2257593,477101651.6
Eritrea,ERI,1993,37.389,14.769,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,2238631,467872714.8
Eritrea,ERI,1994,35.892,14.314,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,2218436,531688311.7
Eritrea,ERI,1995,34.524,13.821,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,2204227,578015625
Eritrea,ERI,1996,33.414,13.309,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,2196467,693535954.2
Eritrea,ERI,1997,32.634,12.797,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,2195192,686490090.1
Eritrea,ERI,1998,32.222,12.306,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,2206439,745526154.9
Eritrea,ERI,1999,32.187,11.847,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,2237412,688921325.7
Eritrea,ERI,2000,32.518,11.43,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,2292413,706370815.6
Eritrea,ERI,2001,33.17,11.06,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,2374721,752368495.5
Eritrea,ERI,2002,34.019,10.729,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,2481059,729321366.7
Eritrea,ERI,2003,34.936,10.43,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,2600972,870247703.2
Eritrea,ERI,2004,35.819,10.158,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,2719809,1109054005
Eritrea,ERI,2005,36.552,9.907,Eritrea,Eritrea,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,2826653,1098425901
Eritrea,ERI,2006,37.038,9.671,Eritrea,Eritrea,Sub-Saharan Africa,Low income,Eritrea,2006,54th,83.9,7.2,7.5,5.4,8,6,6,8,7.3,6.8,8,7.2,6.5,2918209,1211161880
Eritrea,ERI,2007,37.25,9.443,Eritrea,Eritrea,Sub-Saharan Africa,Low income,Eritrea,2007,50th,85.5,7.5,7.2,5.4,8.4,5.9,6,8.3,7.7,7.4,8.1,7.1,6.5,2996540,1317974491
Eritrea,ERI,2008,37.184,9.218,Eritrea,Eritrea,Sub-Saharan Africa,Low income,Eritrea,2008,44th,87.4,7.5,7.2,5.6,8.5,5.9,6,8.4,7.9,7.4,8.6,7.1,7.3,3062782,1380188800
Eritrea,ERI,2009,36.84,8.992,Eritrea,Eritrea,Sub-Saharan Africa,Low income,Eritrea,2009,36th,90.3,7.4,7.7,5.8,8.6,6,6.5,8.6,8.6,7.9,8.6,7,7.6,3119920,1856695551
Eritrea,ERI,2010,36.25,8.764,Eritrea,Eritrea,Sub-Saharan Africa,Low income,Eritrea,2010,30th,93.3,7.6,7.9,6.1,8.6,6.2,7.1,8.8,8.6,8.4,8.7,7.2,8.1,3170437,1589515447
Eritrea,ERI,2011,35.476,8.536,Eritrea,Eritrea,Sub-Saharan Africa,Low income,Eritrea,2011,28th,93.6,7.7,8.1,6.1,8.3,6.5,7.4,8.5,8.4,8.9,8.3,6.8,8.5,3213969,2065001626
Eritrea,ERI,2012,34.616,8.311,Eritrea,Eritrea,Sub-Saharan Africa,Low income,Eritrea,2012,23rd,94.5,7.8,8.1,6.4,8.6,6.9,7.1,8.4,8.2,8.7,8.6,7.1,8.5,,
Eritrea,ERI,2013,33.753,8.093,Eritrea,Eritrea,Sub-Saharan Africa,Low income,Eritrea,2013,25th,95,7.5,8.1,6.1,8.3,6.9,7.3,8.7,8.4,9.1,8.7,7.4,8.6,,
Eritrea,ERI,2014,32.936,7.884,Eritrea,Eritrea,Sub-Saharan Africa,Low income,Eritrea,2014,23rd,95.5,7.6,8.1,6.4,8,7.2,7.5,8.8,8.4,9.2,8.5,7.3,8.5,,
Eritrea,ERI,2015,32.191,7.686,Eritrea,Eritrea,Sub-Saharan Africa,Low income,Eritrea,2015,24th,96.9,7.7,8.1,6.1,8.3,7.2,7.6,9.1,8.7,9.3,8.8,7.8,8.2,,
Eritrea,ERI,2016,31.521,7.5,Eritrea,Eritrea,Sub-Saharan Africa,Low income,Eritrea,2016,18th,98.6,7.4,8.1,6.6,8.3,7.5,8,9.5,8.6,9.1,9.1,8.5,7.9,,
Eritrea,ERI,2017,30.898,7.326,Eritrea,Eritrea,Sub-Saharan Africa,Low income,Eritrea,2017,19th,98.1,7.2,8.1,7.1,8.1,7.8,8.3,9.3,8.4,9,8.8,8.3,7.7,,
